	NN1	NN2	NN3	UU1	UU2	UU3
SPU_010645	36	42	25	53	26	20
SPU_010644	7	16	11	4	3	3
SPU_010647	4	2	0	0	0	0
SPU_006279	2	4	4	2	0	2
SPU_017055	70	76	66	75	66	46
SPU_017056	55	26	28	31	22	20
SPU_028284	321	310	319	325	266	189
SPU_021080	1	5	4	7	1	1
SPU_023512	1	0	0	1	0	0
SPU_021865	0	0	0	2	0	0
SPU_003610	12	13	18	15	17	15
SPU_006519	1	0	0	0	1	0
SPU_013321	13	7	8	7	6	4
SPU_013322	382	398	356	374	321	230
SPU_008217	129	128	141	111	115	105
SPU_026891	0	1	2	2	0	0
SPU_007652	2	0	0	0	0	0
SPU_024851	2	0	0	1	1	0
SPU_020197	43180	48190	45472	42643	44083	43942
SPU_023567	1	0	2	2	1	0
SPU_018915	8	3	3	0	1	1
SPU_018916	8	39	16	13	11	17
SPU_005513	0	0	0	0	0	0
SPU_006244	0	3	1	1	1	1
SPU_018917	0	1	0	0	0	0
SPU_006245	9	5	11	2	0	0
SPU_006240	3	3	0	2	0	3
SPU_006246	1	3	1	0	0	0
SPU_006239	1227	1138	1202	1254	950	771
SPU_007476	0	0	0	0	1	0
SPU_007477	0	0	0	0	0	0
SPU_007475	76	69	62	65	54	42
SPU_006238	185	215	226	180	187	124
SPU_008721	178	173	188	196	122	77
SPU_001252	31	33	45	60	29	23
SPU_026213	24	36	41	34	37	17
SPU_026214	43	42	44	30	17	17
SPU_026215	971	970	1044	583	589	579
SPU_026223	3	0	2	3	2	0
SPU_015140	0	3	0	0	0	0
SPU_015139	0	1	4	1	0	0
SPU_016716	4	4	0	0	4	0
SPU_024883	0	0	0	0	0	0
SPU_019675	0	0	0	0	0	0
SPU_011337	0	0	0	0	1	0
SPU_011338	0	0	0	0	0	0
SPU_004599	113	145	128	62	63	64
SPU_004598	0	0	0	1	0	0
SPU_006159	0	1	0	0	0	0
SPU_028139	60	57	61	54	41	22
SPU_028140	34	40	46	43	32	37
SPU_016418	90	65	83	64	46	23
SPU_004125	5	6	3	5	3	0
SPU_028049	9	6	9	27	14	5
SPU_028048	2	1	3	13	7	8
SPU_028047	128	113	140	130	85	100
SPU_022779	2029	2438	2440	2758	2408	2336
SPU_022778	2829	2960	3001	3231	2730	2502
SPU_013409	139	116	126	109	100	75
SPU_026599	0	0	0	1	1	0
SPU_019547	0	0	2	0	0	0
SPU_018680	147	123	121	138	122	90
SPU_025516	0	0	0	1	0	0
SPU_025517	12	14	11	13	11	5
SPU_025515	8541	8307	8536	13010	10238	9272
SPU_017882	293	303	330	315	208	127
SPU_026017	0	0	8	3	3	2
SPU_014036	108	105	124	78	65	60
SPU_005602	602	567	552	490	374	387
SPU_024265	0	0	0	0	0	0
SPU_017940	174	197	194	69	48	50
SPU_023517	6305	6403	6201	6872	6977	6457
SPU_012488	282	324	287	212	213	137
SPU_012495	21	23	31	19	18	15
SPU_003974	6	14	8	6	6	14
SPU_003975	59	30	62	49	47	29
SPU_012496	63	61	64	55	39	33
SPU_012487	5	8	10	9	12	7
SPU_014505	105	97	103	80	97	37
SPU_014504	369	392	440	446	359	259
SPU_001379	0	2	0	0	0	0
ENSRNA022742864	0	0	0	0	0	0
ENSRNA022742856	0	0	0	0	0	0
ENSRNA022742854	0	0	0	0	0	0
