	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
isogroup108445	0	0	4	1	0	0
isogroup108447	1	0	0	0	0	0
isogroup108462	5	2	0	1	0	0
isogroup108487	0	0	0	0	0	1
isogroup10849	147	5	112	41	22	7
isogroup108499	2	0	1	1	0	0
isogroup108502	0	0	0	0	0	0
isogroup108529	0	0	0	0	0	0
isogroup10856	6	1	1	0	2	0
isogroup108568	28	0	0	0	1	0
isogroup108579	2	0	0	0	2	0
isogroup10858	0	0	0	0	0	0
isogroup108610	0	0	0	1	0	0
isogroup108615	7	0	0	2	5	0
isogroup108618	3	0	5	4	0	0
isogroup108619	0	0	0	0	0	0
isogroup10865	4	0	0	1	1	0
isogroup108651	0	0	0	1	4	0
isogroup108682	23	1	4	8	4	0
isogroup108712	3	0	13	4	1	0
isogroup108715	1	0	0	0	0	0
isogroup10872	368	63	41	104	51	36
isogroup108720	2	0	0	0	0	0
isogroup108750	0	0	0	0	0	0
isogroup108757	2	0	0	0	1	0
isogroup108799	5	0	0	0	0	0
isogroup108816	1	0	0	1	0	0
isogroup108817	2	0	0	0	0	0
isogroup108824	18	2	21	2	5	0
isogroup108828	11	0	7	0	0	0
isogroup108830	0	0	0	0	0	0
isogroup108832	2	0	3	0	1	0
isogroup108838	1	0	13	0	0	0
isogroup108864	3	0	0	1	0	0
isogroup10888	0	0	0	0	0	0
isogroup108886	0	0	0	0	0	0
isogroup108891	2	0	4	3	0	0
isogroup108989	0	0	0	1	0	0
isogroup10899	0	0	0	0	0	0
isogroup109011	1	0	0	0	0	0
isogroup109015	1	0	0	0	2	0
isogroup109025	4	0	0	0	1	0
isogroup109043	13	4	8	3	0	1
isogroup109077	0	0	2	1	0	0
