,Control_1,Hot_1,Control_2,Hot_2
isogroup242165,20,61,11,66
isogroup242167,53,293,46,273
isogroup242170,7,32,9,37
isogroup242182,30,132,25,105
isogroup242183,36,134,19,170
isogroup242184,462,2328,561,2773
isogroup242186,119,742,182,965
isogroup242187,20,180,48,245
isogroup242189,414,2073,551,2539
isogroup242192,154,742,215,864
isogroup242194,28,223,18,166
isogroup242195,339,1010,487,926
isogroup242196,191,914,213,849
isogroup242202,28,182,71,248
isogroup242204,137,708,158,715
isogroup242209,81,519,66,490
isogroup242211,108,445,191,629
isogroup242214,88,589,74,546
isogroup242216,6,34,13,57
isogroup242217,417,2321,592,2849
isogroup242233,14,67,15,49
isogroup242234,73,345,99,420
isogroup242237,94,546,122,653
isogroup242242,30,182,5,78
isogroup242250,255,1442,247,1518
isogroup242260,18,225,14,87
isogroup242263,4,105,13,68
isogroup242264,3,69,5,64
isogroup242270,2,13,1,8
isogroup242272,24,115,14,103
isogroup242280,47,275,62,353
isogroup242289,10,45,9,47
isogroup242290,4,65,2,22
isogroup242295,304,1966,297,1815
isogroup242298,24,80,6,47
isogroup242304,124,971,221,905
isogroup242309,376,2754,539,2387
isogroup242310,142,426,175,501
isogroup242314,17,46,18,50
isogroup242318,21,77,14,53
isogroup242319,23,51,40,97
isogroup242320,104,961,169,934
isogroup242322,107,725,80,601
isogroup242325,244,1304,198,1150
isogroup242327,11,50,18,67
isogroup242336,123,1079,202,1494
isogroup242340,237,1440,296,1505
isogroup242343,134,468,128,386
isogroup242344,211,1353,126,810
isogroup242345,70,425,83,353
isogroup242346,20,132,26,149
isogroup242348,132,717,219,783
isogroup242353,1115,5310,1690,6520
isogroup242356,24,110,16,112
isogroup242358,11,32,6,41
isogroup242367,47,296,37,262
isogroup242376,486,2332,615,2442
isogroup242386,6,17,5,11
isogroup242389,97,356,130,427
isogroup242398,10,14,16,32
isogroup242399,20,91,10,91
isogroup242401,58,249,150,478
isogroup242402,53,122,40,211
isogroup242407,65,315,122,468
isogroup242417,30,261,25,214
isogroup242418,8,54,7,37
isogroup242421,30,192,52,231
isogroup242424,63,388,97,395
isogroup242433,14,195,11,65
isogroup242434,5,64,13,84
isogroup242441,413,2552,525,2629
isogroup242443,28,132,82,249
isogroup242445,502,2786,304,2280
isogroup242447,208,1153,315,1431
isogroup242459,3187,17371,3998,19681
isogroup242460,189,965,127,519
isogroup242462,52,252,46,299
isogroup242465,38,152,20,157
isogroup242467,9,46,7,101
isogroup242473,22,85,7,56
isogroup242474,2,38,16,58
isogroup242476,381,1801,585,2292
isogroup242483,37,145,22,170
isogroup242485,61,238,34,258
isogroup242488,15,67,11,92
isogroup242491,0,0,0,0
isogroup242500,816,4256,1137,4675
isogroup242516,69,673,52,427
isogroup242517,176,1247,222,1131
isogroup242522,0,2,1,0
isogroup242525,538,3089,874,3971
isogroup242537,114,663,105,805
isogroup242540,19,97,22,121
isogroup242549,793,2684,814,3048
isogroup242551,2945,12761,3814,13939
isogroup242552,133,878,134,781
isogroup242558,66,367,86,438
isogroup242569,159,827,193,873
isogroup242570,155,629,346,1105
isogroup242574,45,236,59,275
isogroup242583,12,98,9,89
isogroup242585,46,251,31,280
isogroup242587,107,614,134,608
isogroup242596,2,18,3,18
isogroup242598,214,927,268,1188
isogroup242604,20,215,18,185
isogroup242611,53,148,57,198
isogroup242621,3,19,12,21
isogroup242625,105,836,184,1175
isogroup242629,221,1339,412,1684
isogroup242634,88,223,166,368
isogroup242636,575,3092,947,3131
isogroup242638,72,350,80,321
isogroup242640,9,61,18,71
isogroup242642,17,110,15,145
isogroup242644,267,2111,359,1863
isogroup242647,4709,23899,6381,28698
isogroup242649,275,1489,339,1759
isogroup242650,5525,35518,8149,40330
isogroup242651,77,392,84,421
isogroup242652,73,238,106,392
isogroup242657,204,1792,311,1747
isogroup242661,8,7,10,6
isogroup242664,259,981,324,1331
isogroup242665,118,709,132,803
isogroup242667,33,293,46,227
isogroup242669,16,185,26,150
isogroup242685,9,183,9,244
isogroup242686,40,493,84,463
isogroup242690,347,2240,357,2301
isogroup242691,297,2365,417,1994
isogroup242693,24,361,12,139
isogroup242694,8,13,6,34
isogroup242698,16,0,6,0
isogroup242699,106,1014,89,572
isogroup242707,101,576,166,704
isogroup242709,2241,12251,2987,12372
isogroup242711,257,2520,440,4116
isogroup242713,226,7,252,0
isogroup242722,605,4331,828,4516
isogroup242724,21,100,21,141
isogroup242732,136,890,74,746
isogroup242738,10,50,20,73
isogroup242745,241,1396,249,1358
isogroup242747,125,824,175,899
isogroup242750,95,510,127,526
isogroup242756,75,295,91,374
isogroup242758,199,1389,315,1329
isogroup242763,95,578,146,684
isogroup242765,19,48,26,72
isogroup242766,19,97,71,296
isogroup242767,235,1590,328,1670
isogroup242770,133,753,231,1169
isogroup242774,1,18,9,75
isogroup242776,473,2311,690,2761
isogroup242782,49,398,36,250
isogroup242784,103,614,150,609
isogroup242787,88,545,98,631
isogroup242789,121,596,139,679
isogroup242790,30,273,29,177
isogroup242793,47,424,87,332
isogroup242798,71,458,75,454
isogroup242799,204,1322,322,1657
isogroup242803,42,272,64,288
isogroup242811,116,762,186,849
isogroup242819,17,60,29,72
isogroup242821,71,400,144,440
isogroup242822,34,243,29,255
isogroup242827,6,20,1,6
isogroup242830,56,320,82,302
isogroup242832,35,114,39,101
isogroup242834,69,422,128,433
isogroup242837,529,3044,713,3214
isogroup242844,127,779,99,653
isogroup242845,37,246,69,285
isogroup242848,16,108,33,105
isogroup242854,105,827,72,722
isogroup242856,131,784,138,689
isogroup242857,7,30,13,68
isogroup242861,22,480,52,324
isogroup242869,150,504,147,706
isogroup242874,48,2089,130,547
isogroup242886,295,1909,225,1895
isogroup242887,20,237,9,169
isogroup242895,144,295,125,273
isogroup242900,507,2786,733,3349
isogroup242903,140,702,192,896
isogroup242921,309,2060,444,1852
isogroup242926,14,21,1,21
isogroup242928,69,523,128,675
isogroup242934,5,14,3,7
isogroup242940,101,285,128,420
isogroup242942,859,34,943,4
isogroup242951,18,94,10,88
isogroup242952,7,47,6,62
isogroup242958,332,2353,359,2385
isogroup242963,26,59,31,50
isogroup242975,30,199,53,276
isogroup242978,42,87,6,25
isogroup242984,1335,26,579,4
isogroup242990,537,2895,675,3441
isogroup242994,64,206,112,273
isogroup243002,50,205,102,246
isogroup243004,8170,52044,12010,67360
isogroup243006,336,1934,379,1910
isogroup243008,6,26,5,37
isogroup243011,616,3298,891,4177
isogroup243024,270,1259,358,1419
isogroup243025,46,264,54,271
isogroup243033,191,1082,346,1340
isogroup243036,129,815,186,880
isogroup243038,205,1262,294,1362
isogroup243046,535,2721,600,2626
isogroup243052,1579,8876,2286,11128
isogroup243054,9,60,7,55
isogroup243058,5,64,7,80
isogroup243061,99,686,131,665
isogroup243072,53,110,69,121
isogroup243075,76,247,130,455
isogroup243077,10,10,22,25
isogroup243078,8,44,5,31
isogroup243086,67,359,64,288
isogroup243087,105,590,86,512
isogroup243088,38,112,67,220
isogroup243095,119,469,123,407
isogroup243099,3,48,3,22
isogroup243104,116,519,139,596
isogroup243105,17,113,10,81
isogroup243106,18,145,21,113
isogroup243116,15,93,22,144
isogroup243123,47,228,39,226
isogroup243128,88,516,130,547
isogroup243129,38,39,8,7
isogroup243131,65,370,45,361
isogroup243135,263,11,305,4
isogroup243138,840,5387,1230,6853
isogroup243140,762,4,340,2
isogroup243143,164,1153,236,1150
isogroup243146,920,5936,1184,6446
isogroup243159,562,1996,695,2566
isogroup243160,275,1813,447,1365
isogroup243162,49,102,181,238
isogroup243163,97,597,70,545
isogroup243167,35,193,55,272
isogroup243169,128,9,167,1
isogroup243170,104,761,143,792
isogroup243177,11,109,11,86
isogroup243179,7,60,3,19
isogroup243187,17,250,15,141
isogroup243190,238,1311,357,1516
isogroup243192,21,141,16,99
isogroup243195,36,199,25,176
isogroup243204,465,2351,655,3040
isogroup243206,630,3692,814,4306
isogroup243210,78,349,63,332
isogroup243211,777,2910,969,3305
isogroup243212,342,2103,469,2309
isogroup243215,22,95,25,119
isogroup243221,177,718,230,805
isogroup243222,278,1688,422,1777
isogroup243224,19,84,31,144
isogroup243227,218,1005,287,1228
isogroup243238,13,82,18,104
isogroup243239,78,282,75,371
isogroup243240,71,532,255,842
isogroup243245,104,704,106,629
isogroup243253,20,128,25,130
isogroup243254,49,266,36,268
isogroup243256,27,113,47,132
isogroup243259,19,57,10,79
isogroup243261,97,620,67,466
isogroup243268,28,60,14,83
isogroup243271,59,277,64,302
isogroup243275,60,1897,131,1948
isogroup243280,38,201,36,249
isogroup243281,38,199,29,228
isogroup243289,18,274,22,324
isogroup243293,136,741,165,858
isogroup243296,252,910,354,910
isogroup243310,1,1,1,0
isogroup243312,63,817,62,838
isogroup243316,62,368,31,317
isogroup243320,15,21,4,12
isogroup243324,42,267,73,318
isogroup243325,43,268,54,238
isogroup243330,76,367,30,275
isogroup243335,163,2,139,2
isogroup243338,481,2509,526,1612
isogroup243340,60,269,40,224
isogroup243341,250,1429,358,1500
isogroup243345,22,90,19,84
isogroup243348,396,1733,690,2016
isogroup243351,497,4184,614,4044
isogroup243354,295,2120,454,2956
isogroup243357,56,426,58,379
isogroup243362,1284,7427,1950,7931
isogroup243365,164,1106,226,1534
isogroup243369,219,1234,326,1439
isogroup243376,58,332,52,330
isogroup243381,68,305,49,344
isogroup243386,78,357,67,400
isogroup243392,55,274,152,374
isogroup243395,22,119,18,95
isogroup243396,21,73,14,82
isogroup243397,40,259,30,188
isogroup243402,3,11,13,71
isogroup243414,156,658,242,960
isogroup243415,21,178,49,219
isogroup243418,41,224,47,282
isogroup243419,10,84,8,51
isogroup243425,113,730,178,861
isogroup243427,63,251,96,254
isogroup243429,24,132,27,101
isogroup243432,126,584,137,848
isogroup243443,259,1137,292,1255
isogroup243457,115,430,160,522
isogroup243461,15,74,9,53
isogroup243464,24,164,35,156
isogroup243466,66,997,118,919
isogroup243470,185,491,18,103
isogroup243475,98,437,141,524
isogroup243478,282,1071,528,1204
isogroup243485,62,404,60,353
isogroup243491,445,1473,504,1865
isogroup243504,340,1001,442,1170
isogroup243506,59,507,97,514
isogroup243511,408,2899,432,2629
isogroup243514,982,5357,1191,5743
isogroup243521,456,3409,487,3670
isogroup243523,86,463,123,478
isogroup243524,10,105,12,144
isogroup243528,772,4777,1133,5293
isogroup243530,92,659,186,719
isogroup243534,217,1253,355,1498
isogroup243537,83,481,127,614
isogroup243542,40,232,28,229
isogroup243543,407,2269,557,2184
isogroup243549,227,1107,456,938
isogroup243552,1623,37,2026,5
isogroup243553,106,697,101,692
isogroup243556,14,47,19,56
isogroup243558,42,358,64,317
isogroup243569,49,320,89,380
isogroup243572,320,2431,401,2585
isogroup243582,22,154,55,224
isogroup243585,652,4410,870,4463
isogroup243588,165,1293,149,1255
isogroup243591,98,608,113,789
isogroup243594,45,123,44,61
isogroup243596,126,937,117,821
isogroup243603,14,28,19,58
isogroup243605,31,247,54,320
isogroup243608,78,151,149,670
isogroup243612,101,462,147,611
isogroup243616,3,35,8,29
isogroup243617,16,104,18,93
isogroup243619,454,2188,606,2620
isogroup243620,30,150,54,126
isogroup243622,184,800,253,1011
isogroup243625,77,573,70,562
isogroup243631,2,39,6,55
isogroup243632,378,3810,551,3887
isogroup243633,15,124,21,154
isogroup243635,17,182,30,113
isogroup243637,180,1056,363,1105
isogroup243644,318,1155,422,1422
isogroup243649,73,568,130,606
isogroup243651,60,267,87,347
isogroup243653,156,553,218,676
isogroup243656,187,903,282,948
isogroup243658,63,380,75,404
isogroup243660,9,46,9,66
isogroup243662,67,365,73,304
isogroup243665,125,866,128,792
isogroup243666,21,156,9,68
isogroup243667,37,210,23,203
isogroup243671,81,393,113,312
isogroup243678,90,67,86,134
isogroup243680,25,107,38,102
isogroup243682,281,2,250,1
isogroup243683,36,262,72,337
isogroup243684,10,40,15,42
isogroup243685,1253,5245,2259,6396
isogroup243687,71,410,104,438
isogroup243699,94,388,78,342
isogroup243702,258,1048,248,1068
isogroup243703,81,314,63,338
isogroup243710,3,47,9,60
isogroup243712,17,137,11,106
isogroup243715,122,730,174,876
isogroup243718,201,1215,222,1032
isogroup243727,44,141,60,142
isogroup243728,31,46,44,120
isogroup243729,8,42,15,48
isogroup243733,114,1279,181,1112
isogroup243734,105,693,118,727
isogroup243735,175,1036,256,978
isogroup243743,846,4743,1302,5332
isogroup243748,480,3339,404,2550
isogroup243759,76,446,112,519
isogroup243764,1390,9379,1606,9962
isogroup243766,20,107,18,96
isogroup243770,49,334,109,408
isogroup243776,81,544,48,364
isogroup243777,0,25,18,64
isogroup243779,104,120,167,188
isogroup243781,473,2626,581,2756
isogroup243785,662,2914,932,3769
isogroup243788,172,1480,235,1963
isogroup243789,149,360,290,477
isogroup243790,30,148,27,74
isogroup243794,214,1082,213,1150
isogroup243800,123,428,184,574
isogroup243803,109,424,141,556
isogroup243814,216,1129,343,1691
isogroup243815,30,160,13,90
isogroup243820,210,1338,319,1450
isogroup243822,232,1460,381,1463
isogroup243826,56,290,86,325
isogroup243827,47,292,47,267
isogroup243840,138,766,154,766
isogroup243841,63,369,49,237
isogroup243842,601,4016,593,3251
isogroup243846,378,6,618,3
isogroup243849,99,523,115,590
isogroup243861,917,5415,1157,5685
isogroup243865,56,255,104,286
isogroup243868,69,498,81,457
isogroup243869,38,149,44,129
isogroup243886,204,556,272,783
isogroup243889,3113,1573,4419,750
isogroup243891,42,103,39,126
isogroup243892,88,605,125,615
isogroup243898,267,1575,358,2018
isogroup243900,1,13,5,16
isogroup243901,40,92,64,323
isogroup243902,92,341,56,304
isogroup243906,81,600,183,634
isogroup243907,27,215,24,156
isogroup243908,143,711,93,471
isogroup243909,28,232,35,253
isogroup243912,21,156,25,121
isogroup243915,45,194,36,197
isogroup243917,54,244,70,310
isogroup243919,6125,33092,13129,39099
isogroup243924,788,3103,1109,3346
isogroup243926,20,97,14,129
isogroup243934,78,443,153,612
isogroup243938,32,180,32,178
isogroup243940,36,269,33,232
isogroup243950,11,74,2,51
isogroup243951,17,128,49,285
isogroup243954,465,1869,594,1955
isogroup243956,6,43,5,27
isogroup243959,18,69,26,94
isogroup243966,15,96,33,172
isogroup243971,34,167,30,169
isogroup243972,81,232,74,361
isogroup243977,165,847,271,1003
isogroup243981,7,123,17,111
isogroup243983,139,698,252,971
isogroup243987,3814,14792,6271,20847
isogroup243988,266,1161,417,1348
isogroup243992,123,620,204,655
isogroup243994,88,229,103,277
isogroup243999,71,345,113,560
isogroup244000,12,101,11,88
isogroup244007,14,79,26,89
isogroup244011,5712,132,7372,32
isogroup244013,22,65,21,68
isogroup244015,25,49,26,70
isogroup244019,3,36,15,36
isogroup244030,1089,7586,1406,7940
isogroup244031,66,331,49,323
isogroup244032,285,1587,410,1922
isogroup244034,182,1067,260,1194
isogroup244038,34,245,28,93
isogroup244041,209,1222,303,1423
isogroup244043,176,735,274,1001
isogroup244047,46,278,40,213
isogroup244051,73,290,135,361
isogroup244055,80,474,90,485
isogroup244059,301,1373,422,1775
isogroup244060,14,228,20,169
isogroup244073,75,415,114,535
isogroup244075,14,44,13,66
isogroup244078,6,34,10,55
isogroup244082,29,91,49,110
isogroup244099,432,805,538,1090
isogroup244103,26,196,57,243
isogroup244105,111,1810,153,2633
isogroup244109,365,1646,391,1739
isogroup244116,188,1603,301,1390
isogroup244119,7,65,7,56
isogroup244122,4748,19595,6575,23043
isogroup244125,15,40,10,50
isogroup244126,98,597,145,733
isogroup244127,29,206,19,226
isogroup244132,131,782,143,1020
isogroup244133,42,210,39,236
isogroup244135,7,59,9,68
isogroup244137,2,74,4,17
isogroup244141,97,632,151,788
isogroup244143,32,123,24,127
isogroup244150,18,94,9,76
isogroup244155,54,341,117,425
isogroup244161,78,725,99,658
isogroup244165,298,1520,407,1835
isogroup244169,19,104,34,105
isogroup244173,255,1166,401,1464
isogroup244177,108,444,201,605
isogroup244180,715,2562,895,2981
isogroup244181,23,125,35,181
isogroup244183,73,281,107,328
isogroup244190,40,319,65,285
isogroup244196,9,166,12,114
isogroup244197,67,232,85,254
isogroup244198,613,1081,795,1465
isogroup244201,18,113,20,129
isogroup244202,76,358,113,469
isogroup244203,4,41,8,52
isogroup244214,40,186,60,283
isogroup244215,23,149,44,218
isogroup244219,76,448,103,520
isogroup244224,49,262,106,327
isogroup244232,170,660,152,688
isogroup244244,19,128,5,80
isogroup244246,231,1210,318,1214
isogroup244252,22,134,30,113
isogroup244261,34,235,27,189
isogroup244263,197,1562,321,1818
isogroup244287,15,63,11,87
isogroup244290,32,167,48,219
isogroup244291,152,971,147,885
isogroup244293,122,438,194,438
isogroup244295,196,980,260,1075
isogroup244296,2059,12254,2473,12994
isogroup244297,43,235,33,264
isogroup244300,245,738,285,787
isogroup244302,132,663,198,696
isogroup244314,448,2996,754,3678
isogroup244317,165,596,250,752
isogroup244320,151,750,203,890
isogroup244321,32,248,47,270
isogroup244324,8,66,10,63
isogroup244337,28,155,41,151
isogroup244338,17,29,23,50
isogroup244340,116,742,179,873
isogroup244341,178,808,277,942
isogroup244342,1,0,0,0
isogroup244346,70,418,147,479
isogroup244352,36,194,63,201
isogroup244354,716,3533,1226,5197
isogroup244355,78,543,135,1069
isogroup244356,357,1801,617,2207
isogroup244358,326,2141,443,2115
isogroup244363,126,665,179,685
isogroup244371,73,339,113,419
isogroup244372,42,163,33,150
isogroup244376,171,902,219,1337
isogroup244378,69,356,32,290
isogroup244379,116,541,125,553
isogroup244382,27,119,37,171
isogroup244383,905,10391,1349,12428
isogroup244384,95,224,98,278
isogroup244390,309,8,255,0
isogroup244397,28,223,65,274
isogroup244406,9,1,13,0
isogroup244408,23,101,19,110
isogroup244410,18,202,21,156
isogroup244412,27,95,49,168
isogroup244413,34,80,5,25
isogroup244418,72,224,138,461
