,Control_1,Hot_1,Control_2,Hot_2
isogroup162585,12,346,29,100
isogroup162635,0,0,38,0
isogroup16275,2,53,13,18
isogroup162766,20,61,35,111
isogroup162836,0,3,3,0
isogroup162839,3,5,4,16
isogroup163010,137,728,232,935
isogroup163061,112,4,147,0
isogroup163140,4,21,4,10
isogroup163160,0,0,1,0
isogroup163223,0,9,2,11
isogroup163230,0,0,1,0
isogroup163236,0,12,2,23
isogroup163245,2,45,1,6
isogroup163319,8,0,0,0
isogroup163372,1,44,0,34
isogroup163375,159,0,82,1
isogroup163402,5,20,4,18
isogroup163442,4,6,1,9
isogroup163443,1,35,2,36
isogroup163549,11,56,2,38
isogroup163610,1,4,5,9
isogroup163621,151,1079,192,1363
isogroup163724,58,38,47,88
isogroup163808,30,149,22,167
isogroup16385,0,13,4,30
isogroup163852,5,1,61,1
isogroup163856,91,4,89,0
isogroup163870,4,8,1,1
isogroup163894,9,26,6,46
isogroup163898,84,2,135,0
isogroup163906,0,1,1,5
isogroup163939,72,0,80,0
isogroup163989,120,2,120,0
isogroup164001,30,150,26,158
isogroup164008,334,1496,433,1819
isogroup164024,1,8,0,3
isogroup164048,7,208,18,45
isogroup164058,360,2175,388,2660
isogroup164110,0,11,2,6
isogroup164179,47,285,55,358
isogroup164234,12,97,5,92
isogroup164241,168,2,150,1
isogroup164283,117,3,116,0
isogroup164286,135,804,218,1051
isogroup164420,64,3,127,3
isogroup164424,1,6,2,16
isogroup164432,2,15,2,31
isogroup164479,16,4,22,0
isogroup164595,2,160,29,68
isogroup164620,28,183,32,148
isogroup164622,1,19,3,15
isogroup164653,4,9,0,8
isogroup164729,3,31,2,31
isogroup164750,1,4,1,3
isogroup164752,51,4,55,0
isogroup164796,3,27,5,19
isogroup164808,38,1,63,0
isogroup164969,81,3,136,0
isogroup164982,196,1,173,0
isogroup165024,80,1,80,1
isogroup165098,74,447,102,420
isogroup165174,0,12,1,11
isogroup165188,1,16,1,1
isogroup16519,0,5,2,6
isogroup165295,168,501,139,433
isogroup165319,2,37,0,38
isogroup165366,98,738,146,808
